

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.021  , 0.011  ,  0.7853  , 0.81232  , 0.92998  , 0.72116  , 583.6 
rbf  , 0.021  , 0.013  ,  0.7883  , 0.81218  , 0.916  , 0.72953  , 673.6 
rbf  , 0.021  , 0.015  ,  0.791  , 0.81198  , 0.90303  , 0.73765  , 773.0 
rbf  , 0.021  , 0.017  ,  0.7932  , 0.81165  , 0.89145  , 0.74499  , 867.0 
rbf  , 0.021  , 0.019  ,  0.7913  , 0.80754  , 0.87615  , 0.7489  , 965.8 
rbf  , 0.021  , 0.021  ,  0.7921  , 0.80597  , 0.86398  , 0.7553  , 1061.6 
rbf  , 0.021  , 0.023  ,  0.7918  , 0.80364  , 0.85257  , 0.76007  , 1159.2 
rbf  , 0.021  , 0.025  ,  0.7907  , 0.80003  , 0.83763  , 0.76571  , 1261.0 
rbf  , 0.023  , 0.001  ,  0.6048  , 0.71052  , 0.97057  , 0.56045  , 222.2 
rbf  , 0.023  , 0.003  ,  0.725  , 0.77791  , 0.96375  , 0.65224  , 280.0 
rbf  , 0.023  , 0.005  ,  0.7546  , 0.79589  , 0.95755  , 0.68098  , 344.2 
rbf  , 0.023  , 0.007  ,  0.7679  , 0.80315  , 0.94758  , 0.69699  , 416.6 
rbf  , 0.023  , 0.009  ,  0.777  , 0.80785  , 0.93819  , 0.70939  , 498.6 
rbf  , 0.023  , 0.011  ,  0.7852  , 0.81222  , 0.92978  , 0.72112  , 584.6 
rbf  , 0.023  , 0.013  ,  0.7882  , 0.8121  , 0.916  , 0.72941  , 674.0 
rbf  , 0.023  , 0.015  ,  0.791  , 0.81198  , 0.90303  , 0.73765  , 772.6 
rbf  , 0.023  , 0.017  ,  0.7933  , 0.81172  , 0.89145  , 0.74512  , 866.0 
rbf  , 0.023  , 0.019  ,  0.7915  , 0.80772  , 0.87635  , 0.74907  , 966.6 
rbf  , 0.023  , 0.021  ,  0.7923  , 0.8062  , 0.86439  , 0.75538  , 1062.0 
rbf  , 0.023  , 0.023  ,  0.7919  , 0.80372  , 0.85257  , 0.76021  , 1161.0 
rbf  , 0.023  , 0.025  ,  0.7908  , 0.80015  , 0.83783  , 0.76575  , 1262.0 
rbf  , 0.025  , 0.001  ,  0.6058  , 0.7107  , 0.96897  , 0.56122  , 238.2 
rbf  , 0.025  , 0.003  ,  0.7265  , 0.77865  , 0.96255  , 0.65382  , 291.8 
rbf  , 0.025  , 0.005  ,  0.7562  , 0.79685  , 0.95696  , 0.6827  , 351.6 
rbf  , 0.025  , 0.007  ,  0.7687  , 0.80369  , 0.94756  , 0.6978  , 423.4 
rbf  , 0.025  , 0.009  ,  0.7767  , 0.80755  , 0.93761  , 0.70925  , 502.2 
rbf  , 0.025  , 0.011  ,  0.7852  , 0.81222  , 0.92978  , 0.72112  , 584.4 
rbf  , 0.025  , 0.013  ,  0.7882  , 0.8121  , 0.916  , 0.72941  , 674.4 
rbf  , 0.025  , 0.015  ,  0.791  , 0.81198  , 0.90303  , 0.73765  , 772.8 
rbf  , 0.025  , 0.017  ,  0.7932  , 0.81165  , 0.89145  , 0.74499  , 866.2 
rbf  , 0.025  , 0.019  ,  0.7915  , 0.80772  , 0.87635  , 0.74907  , 966.8 
rbf  , 0.025  , 0.021  ,  0.7922  , 0.80608  , 0.86418  , 0.75534  , 1062.8 
rbf  , 0.025  , 0.023  ,  0.792  , 0.80383  , 0.85277  , 0.76025  , 1160.4 
rbf  , 0.025  , 0.025  ,  0.791  , 0.80029  , 0.83782  , 0.76603  , 1261.2 


New occurence at: 2021-03-01 11:44:50.429735, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.001  , 0.001  ,  0.5997  , 0.7099  , 0.97977  , 0.5567  , 84.6 
rbf  , 0.001  , 0.003  ,  0.7273  , 0.77723  , 0.95162  , 0.657  , 181.6 
rbf  , 0.001  , 0.005  ,  0.7564  , 0.7929  , 0.93284  , 0.68961  , 251.2 
