

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.0006  , 0.3  ,  0.58502  , 0.70622  , 0.99761  , 0.5466  , 10.0  ,  24959   , 41  , 20690  , 4310
rbf  , 0.0006  , 0.31  ,  0.58516  , 0.70628  , 0.99756  , 0.54669  , 10.0  ,  24955   , 45  , 20679  , 4321
rbf  , 0.0006  , 0.32  ,  0.58548  , 0.70643  , 0.99753  , 0.54688  , 10.0  ,  24953   , 47  , 20674  , 4326
rbf  , 0.0006  , 0.33  ,  0.5857  , 0.70653  , 0.99749  , 0.54701  , 11.0  ,  24951   , 49  , 20665  , 4335
rbf  , 0.0006  , 0.34  ,  0.58582  , 0.70659  , 0.99749  , 0.54709  , 11.0  ,  24949   , 51  , 20655  , 4345
rbf  , 0.0006  , 0.35  ,  0.58586  , 0.70659  , 0.99741  , 0.54712  , 11.0  ,  24947   , 53  , 20642  , 4358
rbf  , 0.0006  , 0.36  ,  0.58588  , 0.70656  , 0.99721  , 0.54714  , 12.0  ,  24942   , 58  , 20631  , 4369
rbf  , 0.0006  , 0.37  ,  0.58592  , 0.70658  , 0.99717  , 0.54716  , 12.0  ,  24940   , 60  , 20629  , 4371
rbf  , 0.0006  , 0.38  ,  0.58606  , 0.70664  , 0.99713  , 0.54725  , 12.0  ,  24940   , 60  , 20626  , 4374
rbf  , 0.0006  , 0.39  ,  0.58628  , 0.70677  , 0.99725  , 0.54738  , 12.0  ,  24942   , 58  , 20622  , 4378
rbf  , 0.0006  , 0.4  ,  0.58636  , 0.70681  , 0.99725  , 0.54743  , 13.0  ,  24940   , 60  , 20618  , 4382
rbf  , 0.0007  , 0.18  ,  0.58204  , 0.70491  , 0.99848  , 0.54478  , 7.0  ,  24990   , 10  , 20897  , 4103
rbf  , 0.0007  , 0.19  ,  0.58256  , 0.70515  , 0.9984  , 0.54509  , 7.0  ,  24989   , 11  , 20861  , 4139
rbf  , 0.0007  , 0.2  ,  0.58288  , 0.70529  , 0.99828  , 0.54529  , 7.0  ,  24986   , 14  , 20836  , 4164
rbf  , 0.0007  , 0.21  ,  0.58332  , 0.70551  , 0.99828  , 0.54555  , 8.0  ,  24982   , 18  , 20811  , 4189
rbf  , 0.0007  , 0.22  ,  0.58358  , 0.70564  , 0.99828  , 0.54571  , 8.0  ,  24977   , 23  , 20788  , 4212
rbf  , 0.0007  , 0.23  ,  0.5839  , 0.70577  , 0.99816  , 0.5459  , 8.0  ,  24973   , 27  , 20762  , 4238
rbf  , 0.0007  , 0.24  ,  0.58416  , 0.70589  , 0.99808  , 0.54606  , 8.0  ,  24972   , 28  , 20755  , 4245
rbf  , 0.0007  , 0.25  ,  0.58422  , 0.70588  , 0.99792  , 0.54611  , 9.0  ,  24970   , 30  , 20753  , 4247
rbf  , 0.0007  , 0.26  ,  0.5844  , 0.70596  , 0.99784  , 0.54622  , 9.0  ,  24969   , 31  , 20744  , 4256
rbf  , 0.0007  , 0.27  ,  0.58458  , 0.70602  , 0.99773  , 0.54633  , 10.0  ,  24969   , 31  , 20731  , 4269
rbf  , 0.0007  , 0.28  ,  0.58478  , 0.7061  , 0.99765  , 0.54646  , 10.0  ,  24968   , 32  , 20719  , 4281
rbf  , 0.0007  , 0.29  ,  0.58494  , 0.70618  , 0.99761  , 0.54655  , 10.0  ,  24965   , 35  , 20704  , 4296
rbf  , 0.0007  , 0.3  ,  0.585  , 0.70621  , 0.99761  , 0.54659  , 10.0  ,  24960   , 40  , 20691  , 4309
rbf  , 0.0007  , 0.31  ,  0.5852  , 0.70631  , 0.99761  , 0.54671  , 10.0  ,  24954   , 46  , 20678  , 4322
rbf  , 0.0007  , 0.32  ,  0.58548  , 0.70642  , 0.99749  , 0.54688  , 10.0  ,  24953   , 47  , 20675  , 4325
rbf  , 0.0007  , 0.33  ,  0.58562  , 0.70649  , 0.99749  , 0.54697  , 10.0  ,  24952   , 48  , 20667  , 4333
rbf  , 0.0007  , 0.34  ,  0.58584  , 0.7066  , 0.99749  , 0.5471  , 11.0  ,  24950   , 50  , 20655  , 4345
rbf  , 0.0007  , 0.35  ,  0.58586  , 0.70659  , 0.99741  , 0.54712  , 12.0  ,  24947   , 53  , 20642  , 4358
rbf  , 0.0007  , 0.36  ,  0.58588  , 0.70657  , 0.99725  , 0.54714  , 12.0  ,  24942   , 58  , 20634  , 4366
rbf  , 0.0007  , 0.37  ,  0.58598  , 0.70661  , 0.99717  , 0.5472  , 12.0  ,  24942   , 58  , 20627  , 4373
rbf  , 0.0007  , 0.38  ,  0.58608  , 0.70666  , 0.99721  , 0.54726  , 12.0  ,  24940   , 60  , 20626  , 4374
rbf  , 0.0007  , 0.39  ,  0.5863  , 0.70678  , 0.99725  , 0.54739  , 12.0  ,  24941   , 59  , 20621  , 4379
rbf  , 0.0007  , 0.4  ,  0.58638  , 0.70682  , 0.99725  , 0.54744  , 13.0  ,  24939   , 61  , 20616  , 4384
rbf  , 0.0008  , 0.18  ,  0.582  , 0.70488  , 0.99844  , 0.54476  , 7.0  ,  24986   , 14  , 20873  , 4127
rbf  , 0.0008  , 0.19  ,  0.5826  , 0.70517  , 0.9984  , 0.54512  , 7.0  ,  24989   , 11  , 20857  , 4143
rbf  , 0.0008  , 0.2  ,  0.58286  , 0.70529  , 0.99832  , 0.54528  , 8.0  ,  24986   , 14  , 20837  , 4163
rbf  , 0.0008  , 0.21  ,  0.58324  , 0.70547  , 0.99828  , 0.5455  , 8.0  ,  24983   , 17  , 20812  , 4188
rbf  , 0.0008  , 0.22  ,  0.58348  , 0.70556  , 0.99816  , 0.54565  , 8.0  ,  24977   , 23  , 20788  , 4212
rbf  , 0.0008  , 0.23  ,  0.58382  , 0.7057  , 0.998  , 0.54586  , 8.0  ,  24973   , 27  , 20762  , 4238
rbf  , 0.0008  , 0.24  ,  0.58416  , 0.70587  , 0.998  , 0.54607  , 8.0  ,  24972   , 28  , 20755  , 4245
rbf  , 0.0008  , 0.25  ,  0.5842  , 0.70586  , 0.99784  , 0.5461  , 9.0  ,  24970   , 30  , 20753  , 4247
rbf  , 0.0008  , 0.26  ,  0.58438  , 0.70594  , 0.9978  , 0.54621  , 9.0  ,  24969   , 31  , 20743  , 4257
rbf  , 0.0008  , 0.27  ,  0.5846  , 0.70604  , 0.99777  , 0.54634  , 10.0  ,  24969   , 31  , 20732  , 4268
rbf  , 0.0008  , 0.28  ,  0.58478  , 0.70611  , 0.99769  , 0.54645  , 10.0  ,  24967   , 33  , 20719  , 4281
rbf  , 0.0008  , 0.29  ,  0.58492  , 0.70617  , 0.99761  , 0.54654  , 10.0  ,  24965   , 35  , 20704  , 4296
rbf  , 0.0008  , 0.3  ,  0.585  , 0.70621  , 0.99761  , 0.54659  , 10.0  ,  24959   , 41  , 20691  , 4309
rbf  , 0.0008  , 0.31  ,  0.58522  , 0.7063  , 0.99753  , 0.54673  , 10.0  ,  24954   , 46  , 20679  , 4321
rbf  , 0.0008  , 0.32  ,  0.5855  , 0.70644  , 0.99753  , 0.54689  , 10.0  ,  24954   , 46  , 20675  , 4325
rbf  , 0.0008  , 0.33  ,  0.58566  , 0.70651  , 0.99749  , 0.54699  , 10.0  ,  24951   , 49  , 20665  , 4335
rbf  , 0.0008  , 0.34  ,  0.5858  , 0.70658  , 0.99749  , 0.54707  , 11.0  ,  24950   , 50  , 20655  , 4345
rbf  , 0.0008  , 0.35  ,  0.58584  , 0.70657  , 0.99733  , 0.54711  , 11.0  ,  24949   , 51  , 20641  , 4359
rbf  , 0.0008  , 0.36  ,  0.58588  , 0.70656  , 0.99721  , 0.54714  , 12.0  ,  24942   , 58  , 20633  , 4367
rbf  , 0.0008  , 0.37  ,  0.58598  , 0.70661  , 0.99721  , 0.5472  , 12.0  ,  24942   , 58  , 20628  , 4372
rbf  , 0.0008  , 0.38  ,  0.5861  , 0.70666  , 0.99713  , 0.54727  , 12.0  ,  24940   , 60  , 20626  , 4374
rbf  , 0.0008  , 0.39  ,  0.58626  , 0.70676  , 0.99725  , 0.54737  , 12.0  ,  24941   , 59  , 20621  , 4379
rbf  , 0.0008  , 0.4  ,  0.58636  , 0.70681  , 0.99725  , 0.54743  , 13.0  ,  24939   , 61  , 20617  , 4383
rbf  , 0.0009  , 0.18  ,  0.58204  , 0.70488  , 0.99832  , 0.54479  , 7.0  ,  24972   , 28  , 20834  , 4166
rbf  , 0.0009  , 0.19  ,  0.58256  , 0.70511  , 0.9982  , 0.5451  , 7.0  ,  24970   , 30  , 20811  , 4189
rbf  , 0.0009  , 0.2  ,  0.58296  , 0.7053  , 0.99812  , 0.54534  , 8.0  ,  24968   , 32  , 20790  , 4210
rbf  , 0.0009  , 0.21  ,  0.58332  , 0.70546  , 0.99804  , 0.54556  , 8.0  ,  24962   , 38  , 20766  , 4234
rbf  , 0.0009  , 0.22  ,  0.58356  , 0.70556  , 0.99796  , 0.54571  , 8.0  ,  24958   , 42  , 20745  , 4255
rbf  , 0.0009  , 0.23  ,  0.58378  , 0.70565  , 0.99784  , 0.54585  , 8.0  ,  24954   , 46  , 20736  , 4264
rbf  , 0.0009  , 0.24  ,  0.5841  , 0.70581  , 0.99784  , 0.54604  , 9.0  ,  24953   , 47  , 20734  , 4266
rbf  , 0.0009  , 0.25  ,  0.5842  , 0.70584  , 0.99776  , 0.5461  , 9.0  ,  24956   , 44  , 20728  , 4272
rbf  , 0.0009  , 0.26  ,  0.58448  , 0.70599  , 0.99781  , 0.54627  , 9.0  ,  24965   , 35  , 20728  , 4272
rbf  , 0.0009  , 0.27  ,  0.58454  , 0.70599  , 0.99765  , 0.54631  , 10.0  ,  24968   , 32  , 20727  , 4273
rbf  , 0.0009  , 0.28  ,  0.5847  , 0.70606  , 0.99761  , 0.54641  , 10.0  ,  24966   , 34  , 20719  , 4281
rbf  , 0.0009  , 0.29  ,  0.58496  , 0.70618  , 0.99757  , 0.54657  , 10.0  ,  24964   , 36  , 20702  , 4298
rbf  , 0.0009  , 0.3  ,  0.58502  , 0.70621  , 0.99757  , 0.5466  , 10.0  ,  24959   , 41  , 20691  , 4309
rbf  , 0.0009  , 0.31  ,  0.58524  , 0.70631  , 0.99752  , 0.54674  , 10.0  ,  24955   , 45  , 20679  , 4321
rbf  , 0.0009  , 0.32  ,  0.58546  , 0.70641  , 0.99749  , 0.54687  , 10.0  ,  24953   , 47  , 20675  , 4325
rbf  , 0.0009  , 0.33  ,  0.5857  , 0.70653  , 0.99749  , 0.54702  , 10.0  ,  24951   , 49  , 20666  , 4334
rbf  , 0.0009  , 0.34  ,  0.58582  , 0.70658  , 0.99745  , 0.54709  , 11.0  ,  24949   , 51  , 20654  , 4346
rbf  , 0.0009  , 0.35  ,  0.5859  , 0.70661  , 0.99741  , 0.54714  , 11.0  ,  24947   , 53  , 20641  , 4359
rbf  , 0.0009  , 0.36  ,  0.5859  , 0.70658  , 0.99725  , 0.54715  , 12.0  ,  24942   , 58  , 20630  , 4370
rbf  , 0.0009  , 0.37  ,  0.58594  , 0.70658  , 0.99713  , 0.54718  , 12.0  ,  24941   , 59  , 20629  , 4371
rbf  , 0.0009  , 0.38  ,  0.58606  , 0.70664  , 0.99713  , 0.54725  , 12.0  ,  24940   , 60  , 20626  , 4374
rbf  , 0.0009  , 0.39  ,  0.5863  , 0.70678  , 0.99725  , 0.54739  , 12.0  ,  24941   , 59  , 20622  , 4378
rbf  , 0.0009  , 0.4  ,  0.58634  , 0.7068  , 0.99725  , 0.54741  , 13.0  ,  24940   , 60  , 20616  , 4384
rbf  , 0.001  , 0.18  ,  0.58206  , 0.70487  , 0.99824  , 0.5448  , 8.0  ,  24972   , 28  , 20816  , 4184
rbf  , 0.001  , 0.19  ,  0.5826  , 0.70511  , 0.99812  , 0.54513  , 8.0  ,  24970   , 30  , 20796  , 4204
rbf  , 0.001  , 0.2  ,  0.583  , 0.70531  , 0.99808  , 0.54537  , 8.0  ,  24966   , 34  , 20769  , 4231
rbf  , 0.001  , 0.21  ,  0.58338  , 0.70548  , 0.998  , 0.5456  , 8.0  ,  24962   , 38  , 20754  , 4246
rbf  , 0.001  , 0.22  ,  0.58358  , 0.70559  , 0.99804  , 0.54572  , 9.0  ,  24959   , 41  , 20741  , 4259
rbf  , 0.001  , 0.23  ,  0.5839  , 0.70571  , 0.99788  , 0.54592  , 9.0  ,  24954   , 46  , 20736  , 4264
rbf  , 0.001  , 0.24  ,  0.58412  , 0.70582  , 0.99784  , 0.54605  , 10.0  ,  24954   , 46  , 20729  , 4271
rbf  , 0.001  , 0.25  ,  0.5843  , 0.70589  , 0.99776  , 0.54616  , 10.0  ,  24950   , 50  , 20724  , 4276
rbf  , 0.001  , 0.26  ,  0.58446  , 0.70595  , 0.99768  , 0.54626  , 10.0  ,  24952   , 48  , 20716  , 4284
rbf  , 0.001  , 0.27  ,  0.58458  , 0.70598  , 0.99752  , 0.54634  , 10.0  ,  24952   , 48  , 20710  , 4290
rbf  , 0.001  , 0.28  ,  0.58476  , 0.70607  , 0.99753  , 0.54645  , 10.0  ,  24957   , 43  , 20706  , 4294
rbf  , 0.001  , 0.29  ,  0.58492  , 0.70614  , 0.99748  , 0.54655  , 10.0  ,  24955   , 45  , 20698  , 4302
rbf  , 0.001  , 0.3  ,  0.5851  , 0.70623  , 0.99748  , 0.54666  , 10.0  ,  24953   , 47  , 20687  , 4313
rbf  , 0.001  , 0.31  ,  0.58522  , 0.70628  , 0.99744  , 0.54673  , 10.0  ,  24955   , 45  , 20679  , 4321
rbf  , 0.001  , 0.32  ,  0.5855  , 0.70642  , 0.99745  , 0.5469  , 10.0  ,  24954   , 46  , 20675  , 4325
rbf  , 0.001  , 0.33  ,  0.58572  , 0.70652  , 0.99741  , 0.54703  , 11.0  ,  24951   , 49  , 20666  , 4334
rbf  , 0.001  , 0.34  ,  0.58578  , 0.70655  , 0.99737  , 0.54707  , 11.0  ,  24950   , 50  , 20654  , 4346
rbf  , 0.001  , 0.35  ,  0.58588  , 0.70659  , 0.99733  , 0.54713  , 11.0  ,  24947   , 53  , 20641  , 4359
rbf  , 0.001  , 0.36  ,  0.5859  , 0.70657  , 0.99717  , 0.54715  , 12.0  ,  24942   , 58  , 20633  , 4367
rbf  , 0.001  , 0.37  ,  0.58594  , 0.70657  , 0.99709  , 0.54718  , 12.0  ,  24941   , 59  , 20628  , 4372
rbf  , 0.001  , 0.38  ,  0.5861  , 0.70667  , 0.99717  , 0.54727  , 12.0  ,  24941   , 59  , 20626  , 4374
rbf  , 0.001  , 0.39  ,  0.58628  , 0.70677  , 0.99725  , 0.54738  , 12.0  ,  24942   , 58  , 20621  , 4379
rbf  , 0.001  , 0.4  ,  0.58638  , 0.70682  , 0.99725  , 0.54744  , 13.0  ,  24940   , 60  , 20616  , 4384
rbf  , 0.0011  , 0.18  ,  0.5821  , 0.70485  , 0.99804  , 0.54483  , 8.0  ,  24961   , 39  , 20795  , 4205
rbf  , 0.0011  , 0.19  ,  0.58264  , 0.70511  , 0.998  , 0.54516  , 8.0  ,  24961   , 39  , 20776  , 4224
rbf  , 0.0011  , 0.2  ,  0.58304  , 0.7053  , 0.99796  , 0.5454  , 9.0  ,  24958   , 42  , 20754  , 4246
rbf  , 0.0011  , 0.21  ,  0.58334  , 0.70543  , 0.99788  , 0.54558  , 9.0  ,  24957   , 43  , 20747  , 4253
rbf  , 0.0011  , 0.22  ,  0.58368  , 0.70561  , 0.99792  , 0.54578  , 9.0  ,  24957   , 43  , 20740  , 4260
rbf  , 0.0011  , 0.23  ,  0.58386  , 0.70569  , 0.99784  , 0.54589  , 9.0  ,  24957   , 43  , 20734  , 4266
rbf  , 0.0011  , 0.24  ,  0.58416  , 0.70584  , 0.99784  , 0.54607  , 10.0  ,  24953   , 47  , 20730  , 4270
rbf  , 0.0011  , 0.25  ,  0.5843  , 0.70589  , 0.99776  , 0.54616  , 10.0  ,  24952   , 48  , 20727  , 4273
rbf  , 0.0011  , 0.26  ,  0.5844  , 0.70593  , 0.99772  , 0.54622  , 10.0  ,  24949   , 51  , 20719  , 4281
rbf  , 0.0011  , 0.27  ,  0.58456  , 0.70595  , 0.99744  , 0.54633  , 11.0  ,  24951   , 49  , 20710  , 4290
rbf  , 0.0011  , 0.28  ,  0.58476  , 0.70606  , 0.99749  , 0.54645  , 11.0  ,  24950   , 50  , 20708  , 4292
rbf  , 0.0011  , 0.29  ,  0.58494  , 0.70615  , 0.99748  , 0.54656  , 11.0  ,  24950   , 50  , 20699  , 4301
rbf  , 0.0011  , 0.3  ,  0.5851  , 0.70623  , 0.99748  , 0.54666  , 11.0  ,  24951   , 49  , 20688  , 4312
rbf  , 0.0011  , 0.31  ,  0.58524  , 0.70629  , 0.99744  , 0.54674  , 11.0  ,  24952   , 48  , 20680  , 4320
rbf  , 0.0011  , 0.32  ,  0.58538  , 0.70635  , 0.99737  , 0.54683  , 11.0  ,  24951   , 49  , 20675  , 4325
rbf  , 0.0011  , 0.33  ,  0.58568  , 0.7065  , 0.99737  , 0.54701  , 11.0  ,  24952   , 48  , 20665  , 4335
rbf  , 0.0011  , 0.34  ,  0.58578  , 0.70655  , 0.99741  , 0.54707  , 11.0  ,  24949   , 51  , 20658  , 4342
rbf  , 0.0011  , 0.35  ,  0.5858  , 0.70652  , 0.99721  , 0.54709  , 12.0  ,  24948   , 52  , 20644  , 4356
rbf  , 0.0011  , 0.36  ,  0.58584  , 0.70653  , 0.99713  , 0.54712  , 12.0  ,  24942   , 58  , 20630  , 4370
rbf  , 0.0011  , 0.37  ,  0.58586  , 0.7065  , 0.99697  , 0.54714  , 12.0  ,  24942   , 58  , 20628  , 4372
rbf  , 0.0011  , 0.38  ,  0.5861  , 0.70665  , 0.99709  , 0.54728  , 12.0  ,  24941   , 59  , 20626  , 4374
rbf  , 0.0011  , 0.39  ,  0.58624  , 0.70674  , 0.99717  , 0.54736  , 13.0  ,  24942   , 58  , 20621  , 4379
rbf  , 0.0011  , 0.4  ,  0.5864  , 0.70683  , 0.99721  , 0.54745  , 13.0  ,  24940   , 60  , 20617  , 4383
rbf  , 0.0012  , 0.18  ,  0.58224  , 0.70491  , 0.998  , 0.54492  , 9.0  ,  24958   , 42  , 20797  , 4203
rbf  , 0.0012  , 0.19  ,  0.58284  , 0.7052  , 0.99796  , 0.54528  , 9.0  ,  24958   , 42  , 20778  , 4222
rbf  , 0.0012  , 0.2  ,  0.5831  , 0.70531  , 0.99788  , 0.54544  , 9.0  ,  24956   , 44  , 20760  , 4240
rbf  , 0.0012  , 0.21  ,  0.5834  , 0.70544  , 0.99776  , 0.54562  , 10.0  ,  24955   , 45  , 20747  , 4253
rbf  , 0.0012  , 0.22  ,  0.58372  , 0.70561  , 0.9978  , 0.54581  , 10.0  ,  24954   , 46  , 20741  , 4259
rbf  , 0.0012  , 0.23  ,  0.584  , 0.70573  , 0.99772  , 0.54598  , 10.0  ,  24954   , 46  , 20736  , 4264
rbf  , 0.0012  , 0.24  ,  0.58416  , 0.70581  , 0.99772  , 0.54608  , 11.0  ,  24950   , 50  , 20731  , 4269
rbf  , 0.0012  , 0.25  ,  0.5842  , 0.7058  , 0.99756  , 0.54611  , 11.0  ,  24949   , 51  , 20726  , 4274
rbf  , 0.0012  , 0.26  ,  0.58436  , 0.70587  , 0.99752  , 0.54621  , 11.0  ,  24946   , 54  , 20719  , 4281
rbf  , 0.0012  , 0.27  ,  0.5845  , 0.70592  , 0.99744  , 0.5463  , 11.0  ,  24946   , 54  , 20712  , 4288
rbf  , 0.0012  , 0.28  ,  0.58462  , 0.70597  , 0.99736  , 0.54637  , 11.0  ,  24948   , 52  , 20704  , 4296
rbf  , 0.0012  , 0.29  ,  0.58488  , 0.7061  , 0.9974  , 0.54653  , 11.0  ,  24946   , 54  , 20699  , 4301
rbf  , 0.0012  , 0.3  ,  0.58502  , 0.70617  , 0.9974  , 0.54661  , 11.0  ,  24946   , 54  , 20691  , 4309
rbf  , 0.0012  , 0.31  ,  0.58522  , 0.70627  , 0.99736  , 0.54673  , 11.0  ,  24949   , 51  , 20680  , 4320
rbf  , 0.0012  , 0.32  ,  0.58536  , 0.70633  , 0.99733  , 0.54682  , 11.0  ,  24946   , 54  , 20675  , 4325
rbf  , 0.0012  , 0.33  ,  0.5856  , 0.70644  , 0.99729  , 0.54696  , 11.0  ,  24947   , 53  , 20664  , 4336
rbf  , 0.0012  , 0.34  ,  0.58574  , 0.7065  , 0.99725  , 0.54705  , 11.0  ,  24947   , 53  , 20660  , 4340
rbf  , 0.0012  , 0.35  ,  0.5858  , 0.70651  , 0.99717  , 0.54709  , 12.0  ,  24947   , 53  , 20648  , 4352
rbf  , 0.0012  , 0.36  ,  0.58584  , 0.70653  , 0.99713  , 0.54712  , 12.0  ,  24946   , 54  , 20637  , 4363
rbf  , 0.0012  , 0.37  ,  0.58588  , 0.70651  , 0.99693  , 0.54715  , 12.0  ,  24940   , 60  , 20629  , 4371
rbf  , 0.0012  , 0.38  ,  0.58606  , 0.70661  , 0.99701  , 0.54726  , 13.0  ,  24941   , 59  , 20625  , 4375
rbf  , 0.0012  , 0.39  ,  0.58626  , 0.70672  , 0.99705  , 0.54738  , 13.0  ,  24939   , 61  , 20621  , 4379
rbf  , 0.0012  , 0.4  ,  0.58634  , 0.70677  , 0.99709  , 0.54742  , 13.0  ,  24938   , 62  , 20612  , 4388
rbf  , 0.0013  , 0.18  ,  0.58232  , 0.70495  , 0.998  , 0.54497  , 9.0  ,  24953   , 47  , 20798  , 4202
rbf  , 0.0013  , 0.19  ,  0.5828  , 0.70516  , 0.99784  , 0.54526  , 9.0  ,  24947   , 53  , 20777  , 4223
rbf  , 0.0013  , 0.2  ,  0.5831  , 0.7053  , 0.9978  , 0.54544  , 10.0  ,  24947   , 53  , 20766  , 4234
rbf  , 0.0013  , 0.21  ,  0.5834  , 0.70545  , 0.9978  , 0.54562  , 10.0  ,  24948   , 52  , 20761  , 4239
rbf  , 0.0013  , 0.22  ,  0.5838  , 0.70564  , 0.99776  , 0.54586  , 10.0  ,  24948   , 52  , 20748  , 4252
rbf  , 0.0013  , 0.23  ,  0.58404  , 0.70574  , 0.99768  , 0.54601  , 11.0  ,  24948   , 52  , 20740  , 4260
rbf  , 0.0013  , 0.24  ,  0.58418  , 0.7058  , 0.99764  , 0.5461  , 11.0  ,  24947   , 53  , 20734  , 4266
rbf  , 0.0013  , 0.25  ,  0.5843  , 0.70586  , 0.9976  , 0.54617  , 11.0  ,  24945   , 55  , 20727  , 4273
rbf  , 0.0013  , 0.26  ,  0.5844  , 0.70588  , 0.99748  , 0.54624  , 12.0  ,  24942   , 58  , 20724  , 4276
rbf  , 0.0013  , 0.27  ,  0.58456  , 0.70594  , 0.9974  , 0.54634  , 11.0  ,  24940   , 60  , 20716  , 4284
rbf  , 0.0013  , 0.28  ,  0.58464  , 0.70598  , 0.99736  , 0.54639  , 11.0  ,  24938   , 62  , 20707  , 4293
rbf  , 0.0013  , 0.29  ,  0.58484  , 0.70607  , 0.99732  , 0.54651  , 12.0  ,  24938   , 62  , 20701  , 4299
rbf  , 0.0013  , 0.3  ,  0.585  , 0.70615  , 0.99732  , 0.5466  , 12.0  ,  24939   , 61  , 20693  , 4307
rbf  , 0.0013  , 0.31  ,  0.58516  , 0.70623  , 0.99732  , 0.5467  , 12.0  ,  24941   , 59  , 20680  , 4320
rbf  , 0.0013  , 0.32  ,  0.5853  , 0.70627  , 0.99721  , 0.54679  , 12.0  ,  24943   , 57  , 20675  , 4325
rbf  , 0.0013  , 0.33  ,  0.58554  , 0.70638  , 0.99717  , 0.54694  , 12.0  ,  24942   , 58  , 20666  , 4334
rbf  , 0.0013  , 0.34  ,  0.58578  , 0.7065  , 0.99717  , 0.54708  , 12.0  ,  24943   , 57  , 20656  , 4344
rbf  , 0.0013  , 0.35  ,  0.58582  , 0.70652  , 0.99713  , 0.5471  , 12.0  ,  24944   , 56  , 20646  , 4354
rbf  , 0.0013  , 0.36  ,  0.58584  , 0.70652  , 0.99709  , 0.54712  , 12.0  ,  24946   , 54  , 20639  , 4361
rbf  , 0.0013  , 0.37  ,  0.58582  , 0.70648  , 0.99693  , 0.54712  , 12.0  ,  24941   , 59  , 20633  , 4367
rbf  , 0.0013  , 0.38  ,  0.586  , 0.70656  , 0.99689  , 0.54723  , 12.0  ,  24939   , 61  , 20625  , 4375
rbf  , 0.0013  , 0.39  ,  0.58626  , 0.70671  , 0.99701  , 0.54738  , 13.0  ,  24938   , 62  , 20621  , 4379
rbf  , 0.0013  , 0.4  ,  0.5863  , 0.70673  , 0.99701  , 0.5474  , 13.0  ,  24935   , 65  , 20616  , 4384
rbf  , 0.0014  , 0.18  ,  0.58224  , 0.70487  , 0.9978  , 0.54493  , 9.0  ,  24949   , 51  , 20801  , 4199
rbf  , 0.0014  , 0.19  ,  0.58278  , 0.70514  , 0.9978  , 0.54525  , 9.0  ,  24946   , 54  , 20785  , 4215
rbf  , 0.0014  , 0.2  ,  0.58302  , 0.70522  , 0.99764  , 0.5454  , 10.0  ,  24940   , 60  , 20772  , 4228
rbf  , 0.0014  , 0.21  ,  0.58338  , 0.70544  , 0.9978  , 0.54561  , 10.0  ,  24939   , 61  , 20763  , 4237
rbf  , 0.0014  , 0.22  ,  0.58372  , 0.7056  , 0.99776  , 0.54581  , 10.0  ,  24943   , 57  , 20755  , 4245
rbf  , 0.0014  , 0.23  ,  0.58406  , 0.70575  , 0.99768  , 0.54602  , 11.0  ,  24943   , 57  , 20744  , 4256
rbf  , 0.0014  , 0.24  ,  0.58424  , 0.70583  , 0.99764  , 0.54613  , 11.0  ,  24942   , 58  , 20735  , 4265
rbf  , 0.0014  , 0.25  ,  0.58428  , 0.70582  , 0.99748  , 0.54617  , 11.0  ,  24941   , 59  , 20730  , 4270
rbf  , 0.0014  , 0.26  ,  0.5844  , 0.70587  , 0.99744  , 0.54624  , 12.0  ,  24940   , 60  , 20724  , 4276
rbf  , 0.0014  , 0.27  ,  0.58464  , 0.70599  , 0.99744  , 0.54638  , 12.0  ,  24938   , 62  , 20716  , 4284
rbf  , 0.0014  , 0.28  ,  0.58468  , 0.706  , 0.99736  , 0.54641  , 12.0  ,  24938   , 62  , 20710  , 4290
rbf  , 0.0014  , 0.29  ,  0.58486  , 0.70608  , 0.99732  , 0.54652  , 12.0  ,  24932   , 68  , 20697  , 4303
rbf  , 0.0014  , 0.3  ,  0.58508  , 0.70619  , 0.99732  , 0.54665  , 12.0  ,  24930   , 70  , 20687  , 4313
rbf  , 0.0014  , 0.31  ,  0.58522  , 0.70626  , 0.99732  , 0.54674  , 12.0  ,  24930   , 70  , 20682  , 4318
rbf  , 0.0014  , 0.32  ,  0.58528  , 0.70625  , 0.99717  , 0.54678  , 12.0  ,  24931   , 69  , 20671  , 4329
rbf  , 0.0014  , 0.33  ,  0.58554  , 0.70638  , 0.99717  , 0.54694  , 12.0  ,  24933   , 67  , 20667  , 4333
rbf  , 0.0014  , 0.34  ,  0.58568  , 0.70645  , 0.99713  , 0.54702  , 12.0  ,  24933   , 67  , 20656  , 4344
rbf  , 0.0014  , 0.35  ,  0.58576  , 0.70647  , 0.99705  , 0.54707  , 12.0  ,  24932   , 68  , 20646  , 4354
rbf  , 0.0014  , 0.36  ,  0.58584  , 0.70649  , 0.99697  , 0.54713  , 12.0  ,  24933   , 67  , 20637  , 4363
rbf  , 0.0014  , 0.37  ,  0.58592  , 0.70653  , 0.99693  , 0.54718  , 12.0  ,  24934   , 66  , 20631  , 4369
rbf  , 0.0014  , 0.38  ,  0.58594  , 0.70649  , 0.99673  , 0.5472  , 13.0  ,  24933   , 67  , 20629  , 4371
