

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.0225  , 0.0225  ,  0.90244  , 0.90828  , 0.95773  , 0.8637  , 2513.0  ,  23934   , 1066  , 3827  , 21173
rbf  , 0.0225  , 0.025  ,  0.903  , 0.90835  , 0.95297  , 0.86772  , 2784.0  ,  23826   , 1174  , 3678  , 21322
rbf  , 0.0225  , 0.0275  ,  0.9036  , 0.90849  , 0.94869  , 0.87156  , 3084.0  ,  23709   , 1291  , 3521  , 21479
rbf  , 0.0225  , 0.03  ,  0.90424  , 0.90857  , 0.9433  , 0.87631  , 3415.0  ,  23592   , 1408  , 3379  , 21621
rbf  , 0.025  , 0.02  ,  0.90108  , 0.90727  , 0.95939  , 0.86052  , 2377.0  ,  23984   , 1016  , 3930  , 21070
rbf  , 0.025  , 0.0225  ,  0.90196  , 0.9077  , 0.95575  , 0.86426  , 2598.0  ,  23903   , 1097  , 3774  , 21226
rbf  , 0.025  , 0.025  ,  0.90312  , 0.90837  , 0.9521  , 0.8685  , 2841.0  ,  23808   , 1192  , 3645  , 21355
rbf  , 0.025  , 0.0275  ,  0.90384  , 0.90864  , 0.94806  , 0.87238  , 3123.0  ,  23698   , 1302  , 3490  , 21510
rbf  , 0.025  , 0.03  ,  0.90444  , 0.90871  , 0.94298  , 0.87686  , 3435.0  ,  23582   , 1418  , 3355  , 21645

Trojan name: HT1_2 - 4 ==> Best params: nu = 0.02  , gamma = 0.0225  , F1_score = 0.90886  


New occurence at: 2021-03-04 20:58:34.246461, Trojan name: HT1_3 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.01  , 0.01  ,  0.8866  , 0.89592  , 0.9819  , 0.82382  , 1032.0  ,  24531   , 469  , 5370  , 19630
rbf  , 0.01  , 0.0125  ,  0.89152  , 0.89969  , 0.97875  , 0.83247  , 1223.0  ,  24427   , 573  , 5037  , 19963
rbf  , 0.01  , 0.015  ,  0.89668  , 0.90358  , 0.974  , 0.84269  , 1466.0  ,  24321   , 679  , 4705  , 20295
rbf  , 0.01  , 0.0175  ,  0.90036  , 0.90625  , 0.96872  , 0.85139  , 1736.0  ,  24202   , 798  , 4390  , 20610
rbf  , 0.01  , 0.02  ,  0.90356  , 0.90867  , 0.96503  , 0.85857  , 2028.0  ,  24092   , 908  , 4089  , 20911
rbf  , 0.01  , 0.0225  ,  0.90636  , 0.91067  , 0.96028  , 0.86597  , 2336.0  ,  23948   , 1052  , 3839  , 21161
rbf  , 0.01  , 0.025  ,  0.9078  , 0.9115  , 0.95537  , 0.87153  , 2680.0  ,  23794   , 1206  , 3603  , 21397
rbf  , 0.0125  , 0.01  ,  0.88852  , 0.89736  , 0.98038  , 0.82734  , 1138.0  ,  24479   , 521  , 5235  , 19765
rbf  , 0.0125  , 0.0125  ,  0.89316  , 0.90096  , 0.97771  , 0.83542  , 1311.0  ,  24387   , 613  , 4938  , 20062
rbf  , 0.0125  , 0.015  ,  0.898  , 0.90467  , 0.97361  , 0.84488  , 1510.0  ,  24297   , 703  , 4649  , 20351
rbf  , 0.0125  , 0.0175  ,  0.90088  , 0.90666  , 0.96832  , 0.85242  , 1761.0  ,  24191   , 809  , 4370  , 20630
rbf  , 0.0125  , 0.02  ,  0.90368  , 0.90875  , 0.96478  , 0.85891  , 2038.0  ,  24084   , 916  , 4081  , 20919
rbf  , 0.0125  , 0.0225  ,  0.90624  , 0.91056  , 0.96019  , 0.86583  , 2341.0  ,  23947   , 1053  , 3833  , 21167
rbf  , 0.0125  , 0.025  ,  0.90776  , 0.91147  , 0.95537  , 0.87147  , 2681.0  ,  23793   , 1207  , 3602  , 21398
rbf  , 0.015  , 0.01  ,  0.89004  , 0.89837  , 0.97773  , 0.83096  , 1260.0  ,  24421   , 579  , 5093  , 19907
rbf  , 0.015  , 0.0125  ,  0.89528  , 0.90256  , 0.97578  , 0.8396  , 1415.0  ,  24345   , 655  , 4832  , 20168
rbf  , 0.015  , 0.015  ,  0.89924  , 0.90562  , 0.97249  , 0.84738  , 1585.0  ,  24265   , 735  , 4550  , 20450
rbf  , 0.015  , 0.0175  ,  0.9016  , 0.90723  , 0.96791  , 0.85375  , 1814.0  ,  24175   , 825  , 4297  , 20703
rbf  , 0.015  , 0.02  ,  0.90404  , 0.90899  , 0.96406  , 0.85992  , 2069.0  ,  24058   , 942  , 4044  , 20956
rbf  , 0.015  , 0.0225  ,  0.9064  , 0.91069  , 0.96011  , 0.86614  , 2357.0  ,  23944   , 1056  , 3819  , 21181
rbf  , 0.015  , 0.025  ,  0.9078  , 0.9115  , 0.95537  , 0.87153  , 2686.0  ,  23795   , 1205  , 3603  , 21397
rbf  , 0.0175  , 0.01  ,  0.89172  , 0.89962  , 0.97612  , 0.83427  , 1392.0  ,  24375   , 625  , 5002  , 19998
rbf  , 0.0175  , 0.0125  ,  0.89668  , 0.90355  , 0.97368  , 0.84287  , 1525.0  ,  24302   , 698  , 4715  , 20285
rbf  , 0.0175  , 0.015  ,  0.90016  , 0.90625  , 0.97081  , 0.84978  , 1684.0  ,  24229   , 771  , 4445  , 20555
rbf  , 0.0175  , 0.0175  ,  0.9026  , 0.90801  , 0.96703  , 0.85582  , 1890.0  ,  24144   , 856  , 4209  , 20791
rbf  , 0.0175  , 0.02  ,  0.90452  , 0.90939  , 0.96381  , 0.86081  , 2120.0  ,  24045   , 955  , 3990  , 21010
rbf  , 0.0175  , 0.0225  ,  0.9066  , 0.91085  , 0.95995  , 0.86656  , 2380.0  ,  23926   , 1074  , 3796  , 21204
rbf  , 0.0175  , 0.025  ,  0.90804  , 0.91171  , 0.95529  , 0.87198  , 2698.0  ,  23786   , 1214  , 3586  , 21414
rbf  , 0.02  , 0.01  ,  0.89308  , 0.90055  , 0.97394  , 0.83749  , 1523.0  ,  24322   , 678  , 4906  , 20094
rbf  , 0.02  , 0.0125  ,  0.89768  , 0.90422  , 0.97176  , 0.8455  , 1654.0  ,  24252   , 748  , 4628  , 20372
rbf  , 0.02  , 0.015  ,  0.9008  , 0.9066  , 0.96855  , 0.85214  , 1800.0  ,  24189   , 811  , 4358  , 20642
rbf  , 0.02  , 0.0175  ,  0.90308  , 0.90829  , 0.9655  , 0.85751  , 1978.0  ,  24115   , 885  , 4127  , 20873
rbf  , 0.02  , 0.02  ,  0.90504  , 0.90974  , 0.96276  , 0.86228  , 2185.0  ,  24025   , 975  , 3914  , 21086
rbf  , 0.02  , 0.0225  ,  0.90672  , 0.91089  , 0.95922  , 0.86723  , 2431.0  ,  23906   , 1094  , 3740  , 21260
rbf  , 0.02  , 0.025  ,  0.9082  , 0.91183  , 0.95513  , 0.87233  , 2731.0  ,  23779   , 1221  , 3545  , 21455
rbf  , 0.0225  , 0.01  ,  0.89456  , 0.90158  , 0.9716  , 0.84101  , 1667.0  ,  24267   , 733  , 4767  , 20233
rbf  , 0.0225  , 0.0125  ,  0.89864  , 0.90485  , 0.96952  , 0.84831  , 1772.0  ,  24207   , 793  , 4537  , 20463
rbf  , 0.0225  , 0.015  ,  0.90132  , 0.90688  , 0.96655  , 0.85419  , 1910.0  ,  24144   , 856  , 4279  , 20721
rbf  , 0.0225  , 0.0175  ,  0.90376  , 0.90876  , 0.96413  , 0.85944  , 2077.0  ,  24075   , 925  , 4061  , 20939
rbf  , 0.0225  , 0.02  ,  0.90532  , 0.90988  , 0.96147  , 0.86357  , 2268.0  ,  23981   , 1019  , 3861  , 21139
rbf  , 0.0225  , 0.0225  ,  0.907  , 0.91106  , 0.95834  , 0.86826  , 2499.0  ,  23880   , 1120  , 3691  , 21309
rbf  , 0.0225  , 0.025  ,  0.90824  , 0.9118  , 0.95432  , 0.87294  , 2777.0  ,  23753   , 1247  , 3503  , 21497
rbf  , 0.025  , 0.01  ,  0.89544  , 0.90212  , 0.96935  , 0.84364  , 1805.0  ,  24204   , 796  , 4665  , 20335
rbf  , 0.025  , 0.0125  ,  0.89888  , 0.90491  , 0.96784  , 0.84971  , 1904.0  ,  24154   , 846  , 4435  , 20565
rbf  , 0.025  , 0.015  ,  0.90232  , 0.90766  , 0.96575  , 0.8562  , 2031.0  ,  24101   , 899  , 4180  , 20820
rbf  , 0.025  , 0.0175  ,  0.9046  , 0.90944  , 0.96364  , 0.86105  , 2188.0  ,  24037   , 963  , 3990  , 21010
rbf  , 0.025  , 0.02  ,  0.90668  , 0.91102  , 0.96091  , 0.86608  , 2364.0  ,  23956   , 1044  , 3783  , 21217
rbf  , 0.025  , 0.0225  ,  0.9072  , 0.91111  , 0.95688  , 0.86955  , 2570.0  ,  23849   , 1151  , 3622  , 21378
rbf  , 0.025  , 0.025  ,  0.9086  , 0.91202  , 0.95334  , 0.87418  , 2837.0  ,  23745   , 1255  , 3463  , 21537

Trojan name: HT1_3 - 4 ==> Best params: nu = 0.025  , gamma = 0.025  , F1_score = 0.91202  


New occurence at: 2021-03-04 23:50:48.551689, Trojan name: HT2_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.017  , 0.012  ,  0.84372  , 0.86196  , 0.97373  , 0.77323  , 1472.0  ,  24347   , 653  , 7102  , 17898
rbf  , 0.017  , 0.0145  ,  0.84716  , 0.86439  , 0.97205  , 0.77822  , 1630.0  ,  24282   , 718  , 6864  , 18136
rbf  , 0.017  , 0.017  ,  0.85036  , 0.86653  , 0.96941  , 0.78341  , 1824.0  ,  24197   , 803  , 6619  , 18381
rbf  , 0.017  , 0.0195  ,  0.85192  , 0.8671  , 0.96406  , 0.78788  , 2054.0  ,  24080   , 920  , 6428  , 18572
rbf  , 0.017  , 0.022  ,  0.8548  , 0.86893  , 0.96062  , 0.79322  , 2323.0  ,  23963   , 1037  , 6185  , 18815
rbf  , 0.0195  , 0.012  ,  0.84516  , 0.86282  , 0.97173  , 0.77588  , 1596.0  ,  24287   , 713  , 6992  , 18008
rbf  , 0.0195  , 0.0145  ,  0.84848  , 0.8651  , 0.96949  , 0.78101  , 1734.0  ,  24221   , 779  , 6763  , 18237
rbf  , 0.0195  , 0.017  ,  0.85156  , 0.86717  , 0.96709  , 0.78599  , 1910.0  ,  24155   , 845  , 6526  , 18474
rbf  , 0.0195  , 0.0195  ,  0.85356  , 0.86826  , 0.9631  , 0.79044  , 2119.0  ,  24061   , 939  , 6339  , 18661
rbf  , 0.0195  , 0.022  ,  0.856  , 0.8698  , 0.95998  , 0.79511  , 2372.0  ,  23947   , 1053  , 6124  , 18876
rbf  , 0.022  , 0.012  ,  0.84656  , 0.86364  , 0.96972  , 0.77849  , 1715.0  ,  24235   , 765  , 6883  , 18117
