

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.015  , 0.014  ,  0.88108  , 0.89075  , 0.97349  , 0.82101  , 1529.0  ,  24335   , 665  , 5270  , 19730
rbf  , 0.015  , 0.015  ,  0.8816  , 0.89105  , 0.9722  , 0.82243  , 1604.0  ,  24304   , 696  , 5188  , 19812
rbf  , 0.015  , 0.016  ,  0.88152  , 0.89074  , 0.96972  , 0.82369  , 1696.0  ,  24263   , 737  , 5140  , 19860
rbf  , 0.015  , 0.017  ,  0.88224  , 0.8912  , 0.96852  , 0.82535  , 1789.0  ,  24226   , 774  , 5073  , 19927
rbf  , 0.015  , 0.018  ,  0.88292  , 0.89165  , 0.96732  , 0.82699  , 1893.0  ,  24176   , 824  , 5026  , 19974
rbf  , 0.015  , 0.019  ,  0.88352  , 0.89196  , 0.96547  , 0.82888  , 1999.0  ,  24144   , 856  , 4953  , 20047
rbf  , 0.015  , 0.02  ,  0.8838  , 0.89201  , 0.9637  , 0.83028  , 2110.0  ,  24102   , 898  , 4900  , 20100
rbf  , 0.015  , 0.021  ,  0.88404  , 0.892  , 0.96154  , 0.83187  , 2224.0  ,  24040   , 960  , 4850  , 20150
rbf  , 0.015  , 0.022  ,  0.88396  , 0.8917  , 0.95921  , 0.83309  , 2330.0  ,  23977   , 1023  , 4794  , 20206
rbf  , 0.015  , 0.023  ,  0.884  , 0.89158  , 0.95761  , 0.83409  , 2469.0  ,  23923   , 1077  , 4727  , 20273
rbf  , 0.016  , 0.007  ,  0.87344  , 0.88513  , 0.97912  , 0.80764  , 1186.0  ,  24471   , 529  , 5823  , 19177
rbf  , 0.016  , 0.008  ,  0.87588  , 0.8871  , 0.9792  , 0.81087  , 1227.0  ,  24448   , 552  , 5695  , 19305
rbf  , 0.016  , 0.009  ,  0.87668  , 0.88762  , 0.97799  , 0.81258  , 1269.0  ,  24430   , 570  , 5618  , 19382
rbf  , 0.016  , 0.01  ,  0.87892  , 0.88944  , 0.97807  , 0.81558  , 1314.0  ,  24418   , 582  , 5513  , 19487
rbf  , 0.016  , 0.011  ,  0.87984  , 0.89006  , 0.97678  , 0.81751  , 1368.0  ,  24402   , 598  , 5431  , 19569
rbf  , 0.016  , 0.012  ,  0.88028  , 0.89025  , 0.9751  , 0.81902  , 1435.0  ,  24378   , 622  , 5359  , 19641
rbf  , 0.016  , 0.013  ,  0.88096  , 0.89069  , 0.97389  , 0.82061  , 1498.0  ,  24350   , 650  , 5287  , 19713
rbf  , 0.016  , 0.014  ,  0.88164  , 0.89111  , 0.97252  , 0.8223  , 1568.0  ,  24319   , 681  , 5214  , 19786
rbf  , 0.016  , 0.015  ,  0.88192  , 0.89122  , 0.97124  , 0.8234  , 1639.0  ,  24288   , 712  , 5150  , 19850
rbf  , 0.016  , 0.016  ,  0.88192  , 0.89101  , 0.96916  , 0.82456  , 1728.0  ,  24243   , 757  , 5092  , 19908
rbf  , 0.016  , 0.017  ,  0.88236  , 0.89123  , 0.96779  , 0.82593  , 1818.0  ,  24218   , 782  , 5037  , 19963
rbf  , 0.016  , 0.018  ,  0.88316  , 0.89181  , 0.96692  , 0.82756  , 1915.0  ,  24173   , 827  , 4994  , 20006
rbf  , 0.016  , 0.019  ,  0.88392  , 0.8923  , 0.96555  , 0.8294  , 2021.0  ,  24136   , 864  , 4927  , 20073
rbf  , 0.016  , 0.02  ,  0.884  , 0.89215  , 0.96338  , 0.83075  , 2126.0  ,  24092   , 908  , 4876  , 20124
rbf  , 0.016  , 0.021  ,  0.8842  , 0.89209  , 0.96113  , 0.83233  , 2235.0  ,  24034   , 966  , 4831  , 20169
rbf  , 0.016  , 0.022  ,  0.88424  , 0.89193  , 0.95913  , 0.83355  , 2340.0  ,  23975   , 1025  , 4768  , 20232
rbf  , 0.016  , 0.023  ,  0.88428  , 0.89179  , 0.95745  , 0.8346  , 2477.0  ,  23921   , 1079  , 4708  , 20292
rbf  , 0.017  , 0.007  ,  0.87416  , 0.88562  , 0.97824  , 0.80905  , 1238.0  ,  24440   , 560  , 5778  , 19222
rbf  , 0.017  , 0.008  ,  0.87632  , 0.88734  , 0.97808  , 0.81205  , 1278.0  ,  24433   , 567  , 5649  , 19351
rbf  , 0.017  , 0.009  ,  0.8774  , 0.88809  , 0.97694  , 0.81409  , 1326.0  ,  24406   , 594  , 5564  , 19436
rbf  , 0.017  , 0.01  ,  0.87924  , 0.88955  , 0.97662  , 0.81678  , 1370.0  ,  24392   , 608  , 5454  , 19546
rbf  , 0.017  , 0.011  ,  0.88016  , 0.89019  , 0.97542  , 0.81868  , 1415.0  ,  24375   , 625  , 5377  , 19623
rbf  , 0.017  , 0.012  ,  0.88048  , 0.89033  , 0.97414  , 0.81982  , 1479.0  ,  24356   , 644  , 5317  , 19683
rbf  , 0.017  , 0.013  ,  0.88112  , 0.89071  , 0.97277  , 0.82145  , 1542.0  ,  24327   , 673  , 5247  , 19753
rbf  , 0.017  , 0.014  ,  0.88224  , 0.89156  , 0.97212  , 0.82336  , 1611.0  ,  24298   , 702  , 5182  , 19818
rbf  , 0.017  , 0.015  ,  0.88256  , 0.89168  , 0.9706  , 0.82465  , 1683.0  ,  24269   , 731  , 5123  , 19877
rbf  , 0.017  , 0.016  ,  0.88264  , 0.89155  , 0.96867  , 0.82584  , 1759.0  ,  24226   , 774  , 5064  , 19936
rbf  , 0.017  , 0.017  ,  0.88288  , 0.89166  , 0.96772  , 0.82671  , 1849.0  ,  24205   , 795  , 5010  , 19990
rbf  , 0.017  , 0.018  ,  0.8834  , 0.89197  , 0.9666  , 0.82808  , 1945.0  ,  24164   , 836  , 4968  , 20032
rbf  , 0.017  , 0.019  ,  0.88384  , 0.89216  , 0.96482  , 0.8297  , 2041.0  ,  24125   , 875  , 4901  , 20099
rbf  , 0.017  , 0.02  ,  0.88396  , 0.89206  , 0.96282  , 0.83101  , 2140.0  ,  24079   , 921  , 4855  , 20145
rbf  , 0.017  , 0.021  ,  0.88432  , 0.89215  , 0.96073  , 0.83274  , 2251.0  ,  24024   , 976  , 4806  , 20194
rbf  , 0.017  , 0.022  ,  0.8842  , 0.89185  , 0.95873  , 0.83373  , 2355.0  ,  23972   , 1028  , 4752  , 20248
rbf  , 0.017  , 0.023  ,  0.88432  , 0.89182  , 0.95737  , 0.8347  , 2485.0  ,  23917   , 1083  , 4692  , 20308
rbf  , 0.018  , 0.007  ,  0.87464  , 0.8859  , 0.9772  , 0.81024  , 1296.0  ,  24425   , 575  , 5705  , 19295
rbf  , 0.018  , 0.008  ,  0.8766  , 0.88747  , 0.97711  , 0.81293  , 1330.0  ,  24401   , 599  , 5599  , 19401
rbf  , 0.018  , 0.009  ,  0.8782  , 0.88868  , 0.9763  , 0.81552  , 1382.0  ,  24387   , 613  , 5511  , 19489
rbf  , 0.018  , 0.01  ,  0.87948  , 0.88963  , 0.97534  , 0.8178  , 1425.0  ,  24373   , 627  , 5413  , 19587
rbf  , 0.018  , 0.011  ,  0.88056  , 0.89043  , 0.97461  , 0.81967  , 1474.0  ,  24355   , 645  , 5332  , 19668
rbf  , 0.018  , 0.012  ,  0.88084  , 0.89053  , 0.97325  , 0.82079  , 1527.0  ,  24335   , 665  , 5272  , 19728
rbf  , 0.018  , 0.013  ,  0.88144  , 0.8909  , 0.97204  , 0.82229  , 1582.0  ,  24307   , 693  , 5217  , 19783
rbf  , 0.018  , 0.014  ,  0.8822  , 0.89144  , 0.97124  , 0.82379  , 1656.0  ,  24285   , 715  , 5149  , 19851
rbf  , 0.018  , 0.015  ,  0.88264  , 0.8917  , 0.97012  , 0.82504  , 1725.0  ,  24251   , 749  , 5095  , 19905
rbf  , 0.018  , 0.016  ,  0.88312  , 0.89194  , 0.9686  , 0.82656  , 1798.0  ,  24213   , 787  , 5040  , 19960
rbf  , 0.018  , 0.017  ,  0.8832  , 0.89185  , 0.96707  , 0.82752  , 1887.0  ,  24184   , 816  , 4984  , 20016
rbf  , 0.018  , 0.018  ,  0.88344  , 0.89191  , 0.96571  , 0.82863  , 1976.0  ,  24146   , 854  , 4932  , 20068
rbf  , 0.018  , 0.019  ,  0.88396  , 0.89219  , 0.96418  , 0.83023  , 2068.0  ,  24105   , 895  , 4879  , 20121
rbf  , 0.018  , 0.02  ,  0.88412  , 0.89216  , 0.9625  , 0.83143  , 2161.0  ,  24075   , 925  , 4841  , 20159
rbf  , 0.018  , 0.021  ,  0.88452  , 0.89231  , 0.96065  , 0.83308  , 2267.0  ,  24016   , 984  , 4790  , 20210
rbf  , 0.018  , 0.022  ,  0.88424  , 0.89187  , 0.95849  , 0.83393  , 2374.0  ,  23963   , 1037  , 4737  , 20263
rbf  , 0.018  , 0.023  ,  0.88484  , 0.89225  , 0.95736  , 0.83546  , 2498.0  ,  23914   , 1086  , 4670  , 20330
rbf  , 0.019  , 0.007  ,  0.87504  , 0.88615  , 0.97648  , 0.81115  , 1353.0  ,  24399   , 601  , 5650  , 19350
rbf  , 0.019  , 0.008  ,  0.87712  , 0.88779  , 0.97615  , 0.81413  , 1393.0  ,  24384   , 616  , 5552  , 19448
rbf  , 0.019  , 0.009  ,  0.87876  , 0.88907  , 0.97566  , 0.81663  , 1435.0  ,  24362   , 638  , 5464  , 19536
rbf  , 0.019  , 0.01  ,  0.88012  , 0.89011  , 0.97494  , 0.81889  , 1480.0  ,  24357   , 643  , 5372  , 19628
rbf  , 0.019  , 0.011  ,  0.8808  , 0.89056  , 0.97389  , 0.82039  , 1528.0  ,  24339   , 661  , 5306  , 19694
rbf  , 0.019  , 0.012  ,  0.88124  , 0.89079  , 0.97261  , 0.8217  , 1577.0  ,  24314   , 686  , 5234  , 19766
rbf  , 0.019  , 0.013  ,  0.88152  , 0.89091  , 0.97148  , 0.8227  , 1634.0  ,  24283   , 717  , 5177  , 19823
rbf  , 0.019  , 0.014  ,  0.8822  , 0.89135  , 0.97028  , 0.82432  , 1702.0  ,  24263   , 737  , 5122  , 19878
rbf  , 0.019  , 0.015  ,  0.88288  , 0.89181  , 0.96924  , 0.82586  , 1770.0  ,  24231   , 769  , 5064  , 19936
rbf  , 0.019  , 0.016  ,  0.8832  , 0.89194  , 0.96795  , 0.82703  , 1848.0  ,  24193   , 807  , 5016  , 19984
rbf  , 0.019  , 0.017  ,  0.8834  , 0.89197  , 0.96659  , 0.82808  , 1925.0  ,  24166   , 834  , 4971  , 20029
rbf  , 0.019  , 0.018  ,  0.8836  , 0.89197  , 0.96499  , 0.82927  , 2008.0  ,  24132   , 868  , 4926  , 20074
rbf  , 0.019  , 0.019  ,  0.8842  , 0.89235  , 0.96378  , 0.83081  , 2097.0  ,  24091   , 909  , 4862  , 20138
rbf  , 0.019  , 0.02  ,  0.88448  , 0.89243  , 0.96218  , 0.83214  , 2186.0  ,  24051   , 949  , 4820  , 20180
rbf  , 0.019  , 0.021  ,  0.88472  , 0.89246  , 0.96049  , 0.83346  , 2289.0  ,  24002   , 998  , 4775  , 20225
rbf  , 0.019  , 0.022  ,  0.88448  , 0.89207  , 0.95849  , 0.83428  , 2394.0  ,  23953   , 1047  , 4713  , 20287
rbf  , 0.019  , 0.023  ,  0.88516  , 0.89249  , 0.95704  , 0.83612  , 2511.0  ,  23907   , 1093  , 4653  , 20347
rbf  , 0.02  , 0.007  ,  0.87536  , 0.8863  , 0.97551  , 0.81208  , 1411.0  ,  24369   , 631  , 5610  , 19390
rbf  , 0.02  , 0.008  ,  0.87696  , 0.88752  , 0.97478  , 0.81463  , 1454.0  ,  24357   , 643  , 5515  , 19485
rbf  , 0.02  , 0.009  ,  0.87912  , 0.88927  , 0.97478  , 0.8176  , 1486.0  ,  24340   , 660  , 5424  , 19576
rbf  , 0.02  , 0.01  ,  0.88048  , 0.8903  , 0.97389  , 0.81995  , 1531.0  ,  24329   , 671  , 5338  , 19662
rbf  , 0.02  , 0.011  ,  0.88128  , 0.89088  , 0.97325  , 0.8214  , 1577.0  ,  24316   , 684  , 5266  , 19734
rbf  , 0.02  , 0.012  ,  0.88168  , 0.89109  , 0.97197  , 0.82266  , 1627.0  ,  24297   , 703  , 5198  , 19802
rbf  , 0.02  , 0.013  ,  0.88196  , 0.89119  , 0.97068  , 0.82376  , 1688.0  ,  24264   , 736  , 5136  , 19864
rbf  , 0.02  , 0.014  ,  0.88248  , 0.89151  , 0.96964  , 0.82507  , 1750.0  ,  24243   , 757  , 5089  , 19911
rbf  , 0.02  , 0.015  ,  0.88324  , 0.89203  , 0.96859  , 0.82672  , 1821.0  ,  24217   , 783  , 5038  , 19962
rbf  , 0.02  , 0.016  ,  0.8834  , 0.89205  , 0.96739  , 0.82762  , 1893.0  ,  24180   , 820  , 4992  , 20008
rbf  , 0.02  , 0.017  ,  0.8834  , 0.89185  , 0.96539  , 0.82876  , 1961.0  ,  24153   , 847  , 4947  , 20053
rbf  , 0.02  , 0.018  ,  0.88376  , 0.89205  , 0.96436  , 0.82986  , 2045.0  ,  24116   , 884  , 4905  , 20095
rbf  , 0.02  , 0.019  ,  0.88396  , 0.89205  , 0.96274  , 0.83106  , 2131.0  ,  24074   , 926  , 4850  , 20150
rbf  , 0.02  , 0.02  ,  0.8842  , 0.89212  , 0.96145  , 0.83214  , 2218.0  ,  24039   , 961  , 4804  , 20196
rbf  , 0.02  , 0.021  ,  0.88488  , 0.89257  , 0.96024  , 0.83383  , 2314.0  ,  23988   , 1012  , 4742  , 20258
rbf  , 0.02  , 0.022  ,  0.88476  , 0.89228  , 0.95833  , 0.83478  , 2419.0  ,  23948   , 1052  , 4697  , 20303
rbf  , 0.02  , 0.023  ,  0.88564  , 0.8929  , 0.95712  , 0.83678  , 2529.0  ,  23901   , 1099  , 4639  , 20361
rbf  , 0.021  , 0.007  ,  0.8756  , 0.88641  , 0.97471  , 0.81283  , 1468.0  ,  24347   , 653  , 5569  , 19431
rbf  , 0.021  , 0.008  ,  0.87692  , 0.88737  , 0.97366  , 0.81517  , 1503.0  ,  24321   , 679  , 5474  , 19526
rbf  , 0.021  , 0.009  ,  0.87908  , 0.88915  , 0.97389  , 0.81801  , 1535.0  ,  24313   , 687  , 5384  , 19616
rbf  , 0.021  , 0.01  ,  0.88048  , 0.89019  , 0.97284  , 0.82051  , 1583.0  ,  24300   , 700  , 5299  , 19701
rbf  , 0.021  , 0.011  ,  0.88132  , 0.89084  , 0.97245  , 0.8219  , 1627.0  ,  24284   , 716  , 5235  , 19765
rbf  , 0.021  , 0.012  ,  0.8818  , 0.8911  , 0.97116  , 0.82327  , 1686.0  ,  24267   , 733  , 5160  , 19840
rbf  , 0.021  , 0.013  ,  0.88224  , 0.89133  , 0.96987  , 0.82459  , 1739.0  ,  24242   , 758  , 5107  , 19893
rbf  , 0.021  , 0.014  ,  0.88308  , 0.89196  , 0.96915  , 0.82618  , 1801.0  ,  24221   , 779  , 5052  , 19948
rbf  , 0.021  , 0.015  ,  0.88336  , 0.8921  , 0.96826  , 0.82707  , 1870.0  ,  24192   , 808  , 5008  , 19992
rbf  , 0.021  , 0.016  ,  0.88332  , 0.89187  , 0.96634  , 0.82809  , 1937.0  ,  24166   , 834  , 4964  , 20036
rbf  , 0.021  , 0.017  ,  0.88356  , 0.89194  , 0.96499  , 0.82921  , 2005.0  ,  24140   , 860  , 4917  , 20083
rbf  , 0.021  , 0.018  ,  0.88392  , 0.89213  , 0.96387  , 0.83036  , 2085.0  ,  24104   , 896  , 4873  , 20127
rbf  , 0.021  , 0.019  ,  0.88432  , 0.89233  , 0.9625  , 0.83172  , 2167.0  ,  24066   , 934  , 4824  , 20176
rbf  , 0.021  , 0.02  ,  0.8846  , 0.8924  , 0.96089  , 0.83305  , 2254.0  ,  24025   , 975  , 4774  , 20226
rbf  , 0.021  , 0.021  ,  0.88484  , 0.89246  , 0.95952  , 0.83419  , 2339.0  ,  23972   , 1028  , 4720  , 20280
rbf  , 0.021  , 0.022  ,  0.88508  , 0.89254  , 0.95825  , 0.83529  , 2447.0  ,  23940   , 1060  , 4676  , 20324
rbf  , 0.021  , 0.023  ,  0.8856  , 0.89283  , 0.9568  , 0.8369  , 2551.0  ,  23895   , 1105  , 4623  , 20377
rbf  , 0.022  , 0.007  ,  0.87612  , 0.88675  , 0.9739  , 0.81395  , 1528.0  ,  24319   , 681  , 5537  , 19463
rbf  , 0.022  , 0.008  ,  0.8774  , 0.88768  , 0.97285  , 0.81625  , 1558.0  ,  24298   , 702  , 5431  , 19569
rbf  , 0.022  , 0.009  ,  0.8794  , 0.88933  , 0.97301  , 0.81893  , 1590.0  ,  24292   , 708  , 5339  , 19661
rbf  , 0.022  , 0.01  ,  0.88068  , 0.8903  , 0.97229  , 0.82109  , 1637.0  ,  24276   , 724  , 5264  , 19736
rbf  , 0.022  , 0.011  ,  0.88112  , 0.89054  , 0.97108  , 0.82236  , 1680.0  ,  24267   , 733  , 5197  , 19803
rbf  , 0.022  , 0.012  ,  0.88168  , 0.89089  , 0.97003  , 0.82371  , 1737.0  ,  24240   , 760  , 5132  , 19868
rbf  , 0.022  , 0.013  ,  0.88252  , 0.8915  , 0.96924  , 0.82535  , 1793.0  ,  24228   , 772  , 5082  , 19918
rbf  , 0.022  , 0.014  ,  0.88344  , 0.89221  , 0.96867  , 0.82696  , 1852.0  ,  24202   , 798  , 5031  , 19969
rbf  , 0.022  , 0.015  ,  0.8834  , 0.89204  , 0.96731  , 0.82767  , 1918.0  ,  24175   , 825  , 4981  , 20019
rbf  , 0.022  , 0.016  ,  0.88348  , 0.89196  , 0.96587  , 0.82859  , 1983.0  ,  24144   , 856  , 4943  , 20057
rbf  , 0.022  , 0.017  ,  0.88348  , 0.89182  , 0.96442  , 0.82941  , 2049.0  ,  24108   , 892  , 4897  , 20103
rbf  , 0.022  , 0.018  ,  0.88416  , 0.89226  , 0.96322  , 0.83107  , 2123.0  ,  24085   , 915  , 4856  , 20144
rbf  , 0.022  , 0.019  ,  0.88412  , 0.89208  , 0.9617  , 0.83189  , 2205.0  ,  24052   , 948  , 4799  , 20201
rbf  , 0.022  , 0.02  ,  0.88484  , 0.89257  , 0.96065  , 0.83353  , 2282.0  ,  24013   , 987  , 4757  , 20243
rbf  , 0.022  , 0.021  ,  0.88516  , 0.8927  , 0.95928  , 0.83479  , 2373.0  ,  23963   , 1037  , 4704  , 20296
rbf  , 0.022  , 0.022  ,  0.88512  , 0.89251  , 0.9576  , 0.83573  , 2471.0  ,  23934   , 1066  , 4649  , 20351
rbf  , 0.022  , 0.023  ,  0.88584  , 0.893  , 0.95655  , 0.83739  , 2578.0  ,  23885   , 1115  , 4609  , 20391
rbf  , 0.023  , 0.007  ,  0.87656  , 0.88705  , 0.97334  , 0.81485  , 1582.0  ,  24303   , 697  , 5496  , 19504
rbf  , 0.023  , 0.008  ,  0.87788  , 0.88804  , 0.97253  , 0.81708  , 1606.0  ,  24276   , 724  , 5394  , 19606
rbf  , 0.023  , 0.009  ,  0.87912  , 0.88895  , 0.97156  , 0.81932  , 1647.0  ,  24264   , 736  , 5311  , 19689
rbf  , 0.023  , 0.01  ,  0.8806  , 0.89014  , 0.9714  , 0.82146  , 1693.0  ,  24247   , 753  , 5232  , 19768
rbf  , 0.023  , 0.011  ,  0.8812  , 0.89048  , 0.96988  , 0.82313  , 1731.0  ,  24238   , 762  , 5155  , 19845
rbf  , 0.023  , 0.012  ,  0.882  , 0.89107  , 0.96922  , 0.82461  , 1784.0  ,  24216   , 784  , 5100  , 19900
rbf  , 0.023  , 0.013  ,  0.88272  , 0.89159  , 0.96844  , 0.82607  , 1843.0  ,  24201   , 799  , 5049  , 19951
rbf  , 0.023  , 0.014  ,  0.88324  , 0.8919  , 0.96723  , 0.82748  , 1904.0  ,  24172   , 828  , 4998  , 20002
rbf  , 0.023  , 0.015  ,  0.8836  , 0.89216  , 0.96683  , 0.82822  , 1963.0  ,  24163   , 837  , 4954  , 20046
rbf  , 0.023  , 0.016  ,  0.88364  , 0.89205  , 0.96538  , 0.82909  , 2029.0  ,  24124   , 876  , 4911  , 20089
rbf  , 0.023  , 0.017  ,  0.88348  , 0.89176  , 0.96386  , 0.82973  , 2091.0  ,  24095   , 905  , 4870  , 20130
rbf  , 0.023  , 0.018  ,  0.88392  , 0.892  , 0.96258  , 0.8311  , 2161.0  ,  24074   , 926  , 4834  , 20166
rbf  , 0.023  , 0.019  ,  0.8844  , 0.89227  , 0.9613  , 0.83252  , 2236.0  ,  24038   , 962  , 4774  , 20226
rbf  , 0.023  , 0.02  ,  0.88492  , 0.89262  , 0.96041  , 0.83379  , 2317.0  ,  24002   , 998  , 4736  , 20264
rbf  , 0.023  , 0.021  ,  0.885  , 0.89251  , 0.95871  , 0.83489  , 2404.0  ,  23954   , 1046  , 4682  , 20318
rbf  , 0.023  , 0.022  ,  0.88504  , 0.89238  , 0.95704  , 0.83594  , 2499.0  ,  23925   , 1075  , 4642  , 20358
rbf  , 0.023  , 0.023  ,  0.88564  , 0.89276  , 0.95583  , 0.83752  , 2603.0  ,  23877   , 1123  , 4594  , 20406

Trojan name: HT3_1 - 4 ==> Best params: nu = 0.022  , gamma = 0.023  , F1_score = 0.893  


New occurence at: 2021-03-05 10:43:43.495751, Trojan name: HT3_2 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.005  , 0.005  ,  0.96424  , 0.9653  , 0.99108  , 0.94084  , 522.0  ,  24765   , 235  , 1580  , 23420
rbf  , 0.005  , 0.0075  ,  0.96852  , 0.96926  , 0.98877  , 0.95051  , 690.0  ,  24674   , 326  , 1324  , 23676
rbf  , 0.005  , 0.01  ,  0.96824  , 0.96885  , 0.98399  , 0.95417  , 916.0  ,  24587   , 413  , 1211  , 23789
rbf  , 0.005  , 0.0125  ,  0.96776  , 0.96828  , 0.98024  , 0.9566  , 1161.0  ,  24499   , 501  , 1139  , 23861
rbf  , 0.0075  , 0.005  ,  0.96608  , 0.96696  , 0.98908  , 0.94581  , 640.0  ,  24707   , 293  , 1403  , 23597
rbf  , 0.0075  , 0.0075  ,  0.96896  , 0.96961  , 0.98662  , 0.95319  , 770.0  ,  24636   , 364  , 1216  , 23784
rbf  , 0.0075  , 0.01  ,  0.9684  , 0.96898  , 0.98335  , 0.95503  , 953.0  ,  24570   , 430  , 1164  , 23836
rbf  , 0.0075  , 0.0125  ,  0.968  , 0.9685  , 0.98001  , 0.95726  , 1174.0  ,  24485   , 515  , 1118  , 23882
rbf  , 0.01  , 0.005  ,  0.96696  , 0.9677  , 0.98638  , 0.94973  , 771.0  ,  24632   , 368  , 1292  , 23708
rbf  , 0.01  , 0.0075  ,  0.969  , 0.96958  , 0.98462  , 0.95501  , 879.0  ,  24572   , 428  , 1158  , 23842
rbf  , 0.01  , 0.01  ,  0.96832  , 0.96884  , 0.98136  , 0.95665  , 1040.0  ,  24520   , 480  , 1108  , 23892
rbf  , 0.01  , 0.0125  ,  0.96784  , 0.96831  , 0.97889  , 0.95796  , 1222.0  ,  24470   , 530  , 1098  , 23902
rbf  , 0.0125  , 0.005  ,  0.96684  , 0.96751  , 0.98367  , 0.95187  , 912.0  ,  24578   , 422  , 1239  , 23761
rbf  , 0.0125  , 0.0075  ,  0.96844  , 0.96897  , 0.982  , 0.9563  , 1017.0  ,  24527   , 473  , 1133  , 23867
rbf  , 0.0125  , 0.01  ,  0.968  , 0.96847  , 0.97929  , 0.9579  , 1150.0  ,  24467   , 533  , 1080  , 23920
rbf  , 0.0125  , 0.0125  ,  0.96768  , 0.96811  , 0.97737  , 0.95902  , 1301.0  ,  24431   , 569  , 1057  , 23943
rbf  , 0.015  , 0.005  ,  0.96608  , 0.9667  , 0.9812  , 0.95263  , 1059.0  ,  24520   , 480  , 1207  , 23793
rbf  , 0.015  , 0.0075  ,  0.96776  , 0.96824  , 0.97936  , 0.95738  , 1155.0  ,  24463   , 537  , 1099  , 23901
rbf  , 0.015  , 0.01  ,  0.96736  , 0.96779  , 0.97698  , 0.95878  , 1264.0  ,  24412   , 588  , 1063  , 23937
rbf  , 0.015  , 0.0125  ,  0.96724  , 0.96763  , 0.97554  , 0.95985  , 1398.0  ,  24383   , 617  , 1036  , 23964

Trojan name: HT3_2 - 4 ==> Best params: nu = 0.0075  , gamma = 0.0075  , F1_score = 0.96961  


New occurence at: 2021-03-05 11:18:18.953663, Trojan name: HT3_3 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.005  , 0.001  ,  0.80444  , 0.83536  , 0.99447  , 0.72017  , 349.0  ,  24871   , 129  , 9614  , 15386
rbf  , 0.005  , 0.0035  ,  0.97096  , 0.97153  , 0.99326  , 0.95076  , 450.0  ,  24842   , 158  , 1167  , 23833
rbf  , 0.005  , 0.006  ,  0.97964  , 0.97984  , 0.99167  , 0.9683  , 587.0  ,  24781   , 219  , 806  , 24194
rbf  , 0.005  , 0.0085  ,  0.98048  , 0.98059  , 0.98814  , 0.97317  , 790.0  ,  24695   , 305  , 715  , 24285
rbf  , 0.005  , 0.011  ,  0.97976  , 0.97982  , 0.98444  , 0.97524  , 1016.0  ,  24593   , 407  , 634  , 24366
rbf  , 0.0075  , 0.001  ,  0.80636  , 0.83643  , 0.99246  , 0.72283  , 494.0  ,  24809   , 191  , 9529  , 15471
rbf  , 0.0075  , 0.0035  ,  0.97356  , 0.97396  , 0.99101  , 0.95749  , 586.0  ,  24774   , 226  , 1047  , 23953
rbf  , 0.0075  , 0.006  ,  0.98076  , 0.9809  , 0.98975  , 0.97222  , 700.0  ,  24720   , 280  , 724  , 24276
rbf  , 0.0075  , 0.0085  ,  0.98084  , 0.98093  , 0.98749  , 0.97447  , 848.0  ,  24672   , 328  , 646  , 24354
rbf  , 0.0075  , 0.011  ,  0.98048  , 0.98052  , 0.98452  , 0.97655  , 1038.0  ,  24585   , 415  , 595  , 24405
rbf  , 0.01  , 0.001  ,  0.80732  , 0.83681  , 0.9903  , 0.72456  , 642.0  ,  24747   , 253  , 9410  , 15590
rbf  , 0.01  , 0.0035  ,  0.97588  , 0.97616  , 0.98933  , 0.96334  , 727.0  ,  24702   , 298  , 934  , 24066
rbf  , 0.01  , 0.006  ,  0.9808  , 0.98091  , 0.98797  , 0.97395  , 819.0  ,  24668   , 332  , 677  , 24323
rbf  , 0.01  , 0.0085  ,  0.98104  , 0.9811  , 0.98621  , 0.97605  , 942.0  ,  24627   , 373  , 610  , 24390
rbf  , 0.01  , 0.011  ,  0.98016  , 0.98018  , 0.98316  , 0.97723  , 1102.0  ,  24559   , 441  , 563  , 24437
rbf  , 0.0125  , 0.001  ,  0.80784  , 0.83687  , 0.98807  , 0.72585  , 795.0  ,  24682   , 318  , 9326  , 15674
rbf  , 0.0125  , 0.0035  ,  0.97688  , 0.9771  , 0.98789  , 0.96655  , 871.0  ,  24654   , 346  , 886  , 24114
rbf  , 0.0125  , 0.006  ,  0.98048  , 0.98056  , 0.98582  , 0.97535  , 959.0  ,  24619   , 381  , 656  , 24344
rbf  , 0.0125  , 0.0085  ,  0.98056  , 0.9806  , 0.98421  , 0.97702  , 1071.0  ,  24574   , 426  , 584  , 24416
rbf  , 0.0125  , 0.011  ,  0.97964  , 0.97964  , 0.98155  , 0.97774  , 1203.0  ,  24521   , 479  , 555  , 24445
rbf  , 0.015  , 0.001  ,  0.80824  , 0.8369  , 0.98623  , 0.72689  , 939.0  ,  24621   , 379  , 9241  , 15759
rbf  , 0.015  , 0.0035  ,  0.97656  , 0.97673  , 0.98565  , 0.96798  , 1009.0  ,  24587   , 413  , 849  , 24151
