    1100,    5200,   25700,     700,    4100,    1160,    3920,   25860,     760,    3560,
    4300,     500,   25600,     800,    4400,    4460,     700,   25880,     800,    3680,
     800,    1000,   26200,     800,    4600,    1060,    1000,   26100,     780,    3500,
    4800,    4300,   25700,     800,    1000,    4740,    3800,   25780,     860,    3040,
    5100,    1000,   25700,    4100,    4300,    4800,     840,   26000,    3460,    3140,
    4400,    3600,   25600,    3800,     800,    4320,    4400,   25880,    4160,     860,
    1100,    5200,   26100,     800,    2900,    1180,    3980,   25860,     880,    2840,
    1300,     700,   26400,    1000,     700,    1080,     920,   26240,     920,     820,
    4300,     800,   26200,     800,    4100,    5149,     860,   26120,     900,    3620,
    4900,    4300,   25400,    2900,    2900,    4620,    3800,   25660,    3060,    2760,
    1300,    1000,   25700,     800,    2600,    1120,     920,   25940,     760,    3940,
    1300,    3600,   25900,    2900,    2800,    1140,    3560,   25980,    3340,    3660,
    4400,    3300,   26200,     800,    1000,    4505,    4280,   26080,     820,     900,
    4400,    5100,   25400,     800,    4100,    4540,    3940,   25800,     800,    3360,
    4900,    1000,   25600,    4300,    4100,    5100,    1020,   25680,    3460,    3200,
     800,    3400,   25700,    4100,    4600,    1040,    3480,   25860,    4060,    4280,
     800,    3400,   25600,    2900,    2600,    1020,    3760,   25840,    3540,    3560,
    1100,    3600,   25600,     700,    2800,    1220,    4300,   26040,     740,    3160,
    4800,    1000,   26100,    4100,    2600,    4640,    1000,   26000,    3440,    2940,
     800,    1000,   25600,     700,    3600,    1000,     960,   25800,     740,    3220,
    1100,    1000,   25400,    4300,    4100,    1120,     980,   25780,    3560,    3380,
    4600,    3800,   26100,    3100,    1000,    4560,    4280,   26060,    3060,     860,
     800,    4600,   25600,    3100,    1000,     980,    3820,   25980,    3600,     860,
    5100,    4300,   25900,    4100,    3100,    4560,    4020,   25520,    4200,    3440,
    4600,    4100,   26200,     700,    1000,    4540,    4460,   25960,     800,     900,
    1000,     700,   26200,    4100,    4600,    1020,     900,   25940,    4140,    4260,
    4800,    2000,   25400,    4800,    5100,    4640,    3320,   25640,    4860,    4740,
    4600,    3300,   26100,    3100,    2600,    4500,    3500,   25920,    3500,    3360,
    1300,    3600,   25600,    4100,    4400,    1140,    3440,   25860,    3880,    3280,
    1100,    5100,   26200,     800,    2900,    1080,    4360,   25900,     900,    2800,
    1000,    3300,   26200,    1000,    4600,    1100,    3840,   26100,     880,    3540,
    4800,    4400,   25400,    2900,    2300,    4320,    3700,   25760,    3700,    3620,
